LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
37.5428,143.0074,48.0284,-89.8015,25,20,16.4103,16.1058,67.4358,194,10.21
37.3249,142.9359,41.7985,-114.0128,25,20,16.4103,9.1744,58.8833,194,10.21
37.107,142.8644,35.5686,-138.2242,25,20,16.4103,7.914,82.564,194,10.21
36.8891,142.7929,29.3387,-162.4355,25,20,16.4103,5.9354,88.1945,194,10.21
36.6712,142.7214,23.1088,-186.6468,25,20,16.4103,1.4379,86.0721,194,10.21
36.4533,142.6499,16.8788,-210.8581,25,20,16.4103,0.0121,94.9909,194,10.21
36.2354,142.5784,10.6489,-235.0694,25,20,16.4103,0.3361,127.2043,194,10.21
36.0176,142.5069,4.419,-259.2808,25,20,16.4103,3.3528,66.0419,194,10.21
35.7997,142.4354,-1.8109,-283.4921,25,20,16.4103,2.9801,129.1909,194,10.21
35.5818,142.3639,-8.0409,-307.7034,25,20,16.4103,0.0438,105.1463,194,10.21
35.3639,142.2924,-14.2708,-331.9147,25,20,16.4103,0.1063,104.9969,194,10.21
40.6373,143.7895,116.185,254.062,25,20,19.9555,2.9316,115.3752,194,10.21
40.4194,143.718,109.9551,229.8507,25,20,19.9555,0.0451,129.5522,194,10.21
40.2015,143.6465,103.7251,205.6394,25,20,19.9555,2.9856,85.5975,194,10.21
39.9836,143.575,97.4952,181.428,25,20,19.9555,1.0986,51.935,194,10.21
39.7657,143.5035,91.2653,157.2167,25,20,19.9555,0.5188,89.1325,194,10.21
39.5479,143.432,85.0354,133.0054,25,20,19.9555,0.6403,112.6373,194,10.21
39.33,143.3605,78.8055,108.7941,25,20,19.9555,1.8572,114.7938,194,10.21
39.1121,143.289,72.5755,84.5827,25,20,19.9555,12.6636,111.3967,194,10.21
38.8942,143.2176,66.3456,60.3714,25,20,19.9555,15.3028,109.2901,194,10.21
38.6763,143.1461,60.1157,36.1601,25,20,19.9555,17.5526,91.3663,194,10.21
38.4584,143.0746,53.8858,11.9488,25,20,19.9555,14.1608,81.5104,194,10.21
38.2405,143.0031,47.6559,-12.2625,25,20,19.9555,10.0158,67.2653,194,10.21
38.0227,142.9316,41.4259,-36.4739,25,20,19.9555,11.6756,70.3451,194,10.21
37.8048,142.8601,35.196,-60.6852,25,20,19.9555,10.2557,67.1626,194,10.21
37.5869,142.7886,28.9661,-84.8965,25,20,19.9555,15.3516,68.5591,194,10.21
37.369,142.7171,22.7362,-109.1078,25,20,19.9555,10.8882,55.9304,194,10.21
37.1511,142.6456,16.5063,-133.3191,25,20,19.9555,6.6392,78.1808,194,10.21
36.9332,142.5741,10.2763,-157.5305,25,20,19.9555,1.7169,114.4223,194,10.21
36.7154,142.5026,4.0464,-181.7418,25,20,19.9555,0.2807,94.3273,194,10.21
36.4975,142.4312,-2.1835,-205.9531,25,20,19.9555,4.2435,116.4568,194,10.21
36.2796,142.3597,-8.4134,-230.1644,25,20,19.9555,1.4607,105.5821,194,10.21
36.0617,142.2882,-14.6434,-254.3758,25,20,19.9555,1.9823,126.0878,194,10.21
35.8438,142.2167,-20.8733,-278.5871,25,20,19.9555,0.288,124.31,194,10.21
35.6259,142.1452,-27.1032,-302.7984,25,20,19.9555,0.6228,102.673,194,10.21
35.408,142.0737,-33.3331,-327.0097,25,20,19.9555,1.9637,83.5171,194,10.21
40.6814,143.5707,97.1226,258.967,25,20,23.5006,0.9507,117.3464,194,10.21
40.4635,143.4992,90.8927,234.7557,25,20,23.5006,0.1072,80.07,194,10.21
40.2456,143.4277,84.6628,210.5444,25,20,23.5006,1.2,91.9089,194,10.21
40.0278,143.3563,78.4329,186.333,25,20,23.5006,1.0853,93.019,194,10.21
39.8099,143.2848,72.203,162.1217,25,20,23.5006,0.2475,99.9513,194,10.21
39.592,143.2133,65.973,137.9104,25,20,23.5006,0.5277,65.8964,194,10.21
39.3741,143.1418,59.7431,113.6991,25,20,23.5006,0.1539,115.868,194,10.21
39.1562,143.0703,53.5132,89.4878,25,20,23.5006,7.2092,75.9269,194,10.21
