LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W,Subfault,0 min,0.5 min,1.0 min,1.5 min,2.0 min,2.5 min,3.0 min,3.5 min,4.0 min,4.5 min,5.0 min,Total
36.3062,141.5964,-110.5765,-199.7121,15.6,0.080148 ,81,193,12,50,50,3J,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.045417 ,0.034731 ,0.000000 ,0.080148 
35.8862,141.3665,-130.6804,-246.382,15.6,1.966027 ,81,193,12,50,50,3K,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.474520 ,0.491507 ,1.966027 
40.279,142.5759,-24.9269,241.7366,26,0.815560 ,81,193,16,50,50,4A,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.462150 ,0.353410 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.815560 
39.8199,142.5916,-23.5578,190.7247,26,0.000000 ,81,193,16,50,50,4B,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
39.3815,142.463,-34.8054,142.0062,26,0.000000 ,81,193,16,50,50,4C,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
38.943,142.3343,-46.0529,93.2877,26,2.812662 ,81,193,16,50,50,4D,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,2.297006 ,0.515656 ,0.000000 ,0.000000 ,0.000000 ,2.812662 
38.5046,142.2057,-57.3005,44.5691,26,2.411939 ,81,193,16,50,50,4E,0.000000 ,0.000000 ,0.000000 ,0.096164 ,0.480823 ,0.305824 ,1.529127 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,2.411939 
38.0662,142.0771,-68.548,-4.1494,26,14.262510 ,81,193,16,50,50,4F,0.000000 ,1.395519 ,6.977595 ,0.000000 ,0.000000 ,0.981563 ,4.907834 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,14.262510 
37.6277,141.9484,-79.7956,-52.8679,26,2.674356 ,81,193,16,50,50,4G,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.074270 ,2.126459 ,0.473627 ,0.000000 ,0.000000 ,0.000000 ,2.674356 
37.216,141.7004,-101.4803,-98.6202,26,4.474733 ,81,193,16,50,50,4H,0.000000 ,0.000000 ,0.596632 ,3.878101 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,4.474733 
36.811,141.3795,-129.5402,-143.6233,26,0.000000 ,81,193,16,50,50,4I,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
36.406,141.0583,-157.624,-188.6264,26,2.751412 ,81,193,16,50,50,4J,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.733708 ,2.017704 ,0.000000 ,2.751412 
35.986,140.8313,-177.4729,-235.2964,26,2.553387 ,81,193,16,50,50,4K,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.319249 ,1.234138 ,2.553387 
