Site,Event,Depth,Accuracy,TPR,FPR,F1,G
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5598705501618123,0.10229276895943562,0.1729806142415074,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8035516093229744,0.019011406844106463,0.03714401514490783,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9915848527349228,0.11049406357717349,0.19883193143171865,0.666
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.052083333333333336,0.04863692688971499,0.05030116621812123,0.544
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.15728900255754474,0.09751108080463688,0.1203878777093518,0.413
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5572815533980583,0.10307662159514011,0.1739743732320878,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.802441731409545,0.01875792141951838,0.036658902350158916,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.91,0.9922861150070126,0.11298353121409421,0.20286812296260118,0.674
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.057291666666666664,0.047862453531598514,0.0521542993923771,0.567
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.149616368286445,0.09699965905216502,0.11769500035358178,0.424
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5553398058252427,0.1020968058005095,0.17248330654547792,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.803921568627451,0.01926489226869455,0.03762807856491629,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.913,0.9901823281907434,0.1083875909613175,0.19538761310322741,0.68
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.0625,0.04801734820322181,0.05430974071478626,0.54
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.17135549872122763,0.09802250255710876,0.12470724952941424,0.403
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5553398058252427,0.10052910052910052,0.17024076191669668,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8057713651498335,0.01977186311787072,0.03859664906820868,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.0018050541516245488,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.913,0.9901823281907434,0.10857908847184987,0.19569870762744493,0.673
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.0625,0.04910161090458488,0.054996530187369885,0.532
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.16624040920716113,0.0968291851346744,0.12237768032642889,0.405
Rikuzentakata,FUJI2011_42,5m-10m,0.821,0.5592233009708738,0.10013717421124829,0.16985865310425902,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.806881243063263,0.019011406844106463,0.037147558071801576,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.001654632972322503,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9915848527349228,0.11049406357717349,0.19883193143171865,0.669
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.04755266418835192,0.04971498898821091,0.552
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.1649616368286445,0.09768155472212751,0.12270418326693225,0.411
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5572815533980583,0.10072506368802665,0.17061293458341695,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8057713651498335,0.01875792141951838,0.03666236286758585,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.001654632972322503,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9922861150070126,0.11049406357717349,0.19884602064410667,0.663
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.048327137546468404,0.05013497878904744,0.548
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.1585677749360614,0.0968291851346744,0.12023626617501453,0.412
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5585760517799353,0.10092102684695277,0.1709547185110136,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8057713651498335,0.01926489226869455,0.03763010026100187,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.0015042117930204573,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11106855610877059,0.1997758090409082,0.666
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.04801734820322181,0.04996776273372018,0.561
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.15728900255754474,0.09734060688714627,0.12025786788123692,0.416
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5553398058252427,0.10013717421124829,0.16967844966658405,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8065112837587866,0.01977186311787072,0.03859749715523916,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.0018050541516245488,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9901823281907434,0.10915358100344695,0.19663134091121195,0.665
Rikuzentakata,FUJI2011_42,1m-2m,0.924,0.057291666666666664,0.04987608426270136,0.05332731105088828,0.548
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.15728900255754474,0.0968291851346744,0.11986679179956317,0.41
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5579288025889968,0.10072506368802665,0.17064323782630028,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8065112837587866,0.019518377693282636,0.038114350089138216,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.909,0.9922861150070126,0.11374952125622367,0.20410205029665476,0.673
Rikuzentakata,FUJI2011_42,1m-2m,0.927,0.052083333333333336,0.047397769516728624,0.04963020630595563,0.583
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.14705882352941177,0.09717013296965564,0.11701909258879081,0.428
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5559870550161812,0.09974524789339605,0.1691454466465579,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8076211616722161,0.01926489226869455,0.037632112911762855,0.009
